ProductName,SATID,Mode,Level,Status,FailedQC,QCProcessingTime(sec),QC1Status,NumberLostline,QC2Status,ViewingAngleAlongTrack,ViewingAngleAcrossTrack,QC3Status,MissingFile,ErrorFile,QC4Status,NoDataPercentage,QC5Status,CloudCoverPercentage,QC6Status,UsedCPF,QC7Status,Mode,QC8Status,PointingError
TH_CAT_201203074105525_1_2M_S1742873_R63464_29NOV2020,TH1,MS,2A,PASS,[],4.254,PASS,0,PASS,-0.844671,11.899579,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,PASS,"[86, 87, 103, 74]",PASS,9999
TH_CAT_201203074449363_1_1M_S1742874_R63464_29NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.504,PASS,0,PASS,-0.843826,11.900339,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[255, 255, 255, 103]",PASS,9999
TH_CAT_20120307450369_1_2M_S1742874_R63464_29NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.264,PASS,0,PASS,-0.843826,11.900339,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[255, 255, 102, 255]",PASS,9999
TH_CAT_201203074552102_1_1M_S1742875_R63464_29NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.419,PASS,0,PASS,-0.84624,11.898668,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[255, 255, 255, 255]",PASS,9999
TH_CAT_201203074604873_1_2M_S1742875_R63464_29NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.471,PASS,0,PASS,-0.84624,11.898668,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[255, 255, 255, 255]",PASS,9999
TH_CAT_201203074644356_1_1M_S1742876_R63464_29NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.563,PASS,0,PASS,-0.849058,11.899668,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[255, 255, 255, 109]",PASS,9999
TH_CAT_201203074656977_1_2M_S1742876_R63464_29NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.182,PASS,0,PASS,-0.849058,11.899668,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[255, 255, 255, 108]",PASS,9999
TH_CAT_201203074814492_1_1M_S1742877_R63464_29NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.41,PASS,0,PASS,-0.848019,11.899139,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[255, 255, 255, 255]",PASS,9999
TH_CAT_201203074827848_1_2M_S1742877_R63464_29NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.053,PASS,0,PASS,-0.848019,11.899139,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[255, 255, 255, 255]",PASS,9999
TH_CAT_20120308292402_1_2P_S1742916_R63464_29NOV2020,TH1,PAN,2A,PASS,[],8.192,PASS,0,PASS,-0.815669,11.908952,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,PASS,[103],PASS,9999
TH_CAT_201204081735610_1_1P_S1742920_R63464_29NOV2020,TH1,PAN,1A,PASS,[],6.549,PASS,0,PASS,-0.819438,11.908207,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,PASS,[118],PASS,9999
TH_CAT_201204081753380_1_2P_S1742920_R63464_29NOV2020,TH1,PAN,2A,PASS,[],7.861,PASS,0,PASS,-0.819438,11.908207,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,PASS,[118],PASS,9999
TH_CAT_20120408300480_1_2P_S1742928_R63464_29NOV2020,TH1,PAN,2A,PASS,[],7.866,PASS,0,PASS,-0.824202,11.908403,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,PASS,[119],PASS,9999
TH_CAT_201204083713868_1_1P_S1742931_R63464_29NOV2020,TH1,PAN,1A,NOT PASS ,['QC7Mode'],5.949,PASS,0,PASS,-0.825018,11.906965,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[255],PASS,9999
TH_CAT_201204083731235_1_2P_S1742931_R63464_29NOV2020,TH1,PAN,2A,NOT PASS ,['QC7Mode'],7.334,PASS,0,PASS,-0.825018,11.906965,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[255],PASS,9999
TH_CAT_201204083818346_1_1P_S1742932_R63464_29NOV2020,TH1,PAN,1A,NOT PASS ,['QC7Mode'],5.876,PASS,0,PASS,-0.824496,11.906846,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[255],PASS,9999
TH_CAT_201204083832351_1_2P_S1742932_R63464_29NOV2020,TH1,PAN,2A,NOT PASS ,['QC7Mode'],7.341,PASS,0,PASS,-0.824496,11.906846,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[255],PASS,9999
TH_CAT_210122041032159_1_1P_64088_scene1,TH1,PAN,1A,PASS,[],6.434,PASS,8,PASS,7.953435,0.946542,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,[70],PASS,9999
TH_CAT_210122041049520_1_2P_64088_scene1,TH1,PAN,2A,PASS,[],7.762,PASS,8,PASS,7.953435,0.946542,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,[70],PASS,9999
TH_CAT_210122041251152_1_1M_64088_scene1,TH1,MS,1A,PASS,[],3.3,PASS,8,PASS,7.930093,0.938394,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,"[103, 96, 103, 107]",PASS,9999
TH_CAT_210122041322461_1_2M_64088_scene1,TH1,MS,2A,PASS,[],4.046,PASS,8,PASS,7.930093,0.938394,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,"[96, 103, 103, 108]",PASS,9999
TH_CAT_210202082834764_1_1M_GOBI_20210202,TH1,MS,1A,PASS,[],3.09,PASS,0,PASS,4.796063,3.324067,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,"[67, 64, 72, 82]",PASS,9999
TH_CAT_210202082850452_1_2M_GOBI_20210202,TH1,MS,2A,PASS,[],3.884,PASS,0,PASS,4.796063,3.324067,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,"[67, 72, 66, 82]",PASS,9999
TH_CAT_21020208295419_1_1P_GOBI_20210202,TH1,PAN,1A,PASS,[],6.271,PASS,0,PASS,4.820861,3.332119,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,[98],PASS,9999
TH_CAT_210202083009145_1_2P_GOBI_20210202,TH1,PAN,2A,PASS,[],7.427,PASS,0,PASS,4.820861,3.332119,PASS,[],[],PASS,[2.9011271778435346e-06],PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,[98],PASS,9999
TH_CAT_21020307054506_1_1M_LIBYA1_20210202,TH1,MS,1A,PASS,[],2.993,PASS,0,PASS,-0.100807,1.052934,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,"[73, 113, 99, 166]",PASS,9999
TH_CAT_21020307060510_1_2M_LIBYA1_20210202,TH1,MS,2A,PASS,[],3.48,PASS,0,PASS,-0.100807,1.052934,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,"[99, 73, 113, 166]",PASS,9999
TH_CAT_210203070801950_1_1P_LIBYA1_20210202,TH1,PAN,1A,PASS,[],5.094,PASS,0,PASS,-0.076275,1.061161,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20201230_000000_20210101_000000.CPF,PASS,[91],PASS,9999
